1,0
2,0
6,0
9,0
13,0
14,0
16,0
17,0
19,0
20,0
21,0
22,0
23,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
36,0
37,0
39,0
41,0
42,0
43,0
46,0
47,0
50,0
51,0
52,0
55,0
56,0
60,0
63,0
64,0
65,0
67,0
2,1
6,1
9,1
13,1
14,1
16,1
17,1
19,1
20,1
21,1
22,1
23,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
36,1
37,1
39,1
41,1
42,1
43,1
46,1
47,1
50,1
51,1
52,1
55,1
56,1
60,1
63,1
64,1
65,1
67,1
6,2
9,2
13,2
14,2
16,2
17,2
19,2
20,2
21,2
22,2
23,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
36,2
37,2
39,2
41,2
42,2
43,2
46,2
47,2
50,2
51,2
52,2
55,2
56,2
60,2
63,2
64,2
65,2
67,2
17,3
42,3
17,4
42,4
17,5
42,5
9,6
13,6
14,6
16,6
17,6
19,6
20,6
21,6
22,6
23,6
26,6
27,6
28,6
29,6
30,6
31,6
32,6
33,6
36,6
37,6
39,6
41,6
42,6
43,6
46,6
47,6
50,6
51,6
52,6
55,6
56,6
60,6
63,6
64,6
65,6
67,6
17,7
42,7
17,8
42,8
13,9
14,9
16,9
17,9
19,9
20,9
21,9
22,9
23,9
26,9
27,9
28,9
29,9
30,9
31,9
32,9
33,9
36,9
37,9
39,9
41,9
42,9
43,9
46,9
47,9
50,9
51,9
52,9
55,9
56,9
60,9
63,9
64,9
65,9
67,9
17,10
42,10
44,10
67,10
17,11
42,11
17,12
42,12
14,13
16,13
17,13
19,13
20,13
21,13
22,13
23,13
26,13
27,13
28,13
29,13
30,13
31,13
32,13
33,13
36,13
37,13
39,13
41,13
42,13
43,13
46,13
47,13
50,13
51,13
52,13
55,13
56,13
60,13
63,13
64,13
65,13
67,13
16,14
17,14
19,14
20,14
21,14
22,14
23,14
26,14
27,14
28,14
29,14
30,14
31,14
32,14
33,14
36,14
37,14
39,14
41,14
42,14
43,14
46,14
47,14
50,14
51,14
52,14
55,14
56,14
60,14
63,14
64,14
65,14
67,14
17,15
42,15
17,16
19,16
20,16
21,16
22,16
23,16
26,16
27,16
28,16
